"","Region","Division","MedianHomePrice","MedianEarnings","AverageEarnings","PovertyRate","Population","PopulationUnderPovertyLine"
"1","West","Pacific",636451,47700,72694,9.26,1381577,127971
"2","South","South Atlantic",626911,79960,130836,15.45,669089,103391
"3","West","Pacific",554886,47920,93517,12.58,38589882,4853434
"4","Northeast","New England",422856,58540,93765,9.85,6637329,653454
"5","West","Pacific",409228,50450,90128,10.19,7372433,751044
"6","West","Mountain",397820,47940,76485,9.78,5563823,544232
"7","West","Pacific",361970,46910,72616,12.36,4096744,506558
"8","West","Mountain",348376,38860,64689,9.13,3102049,283360
"9","Northeast","Middle Atlantic",335607,48200,86170,9.67,8713792,842704
"10","Northeast","Middle Atlantic",321934,48800,95470,13.58,19009098,2581048
"11","South","South Atlantic",308041,48460,79257,9.02,5894835,531553
"12","West","Mountain",301753,37900,67922,12.78,2987817,381695
"13","West","Pacific",300889,48820,78089,10.34,719445,74369
"14","Northeast","New England",300808,47780,71848,11.58,1017028,117785
"15","Northeast","New England",290163,46960,79928,7.42,1312770,97418
"16","West","Mountain",285982,37550,60515,11.94,1722972,205676
"17","South","South Atlantic",285229,47200,74924,10.01,8255575,826708
"18","West","Mountain",277801,38050,57994,12.78,1036490,132476
"19","West","Mountain",268765,39500,67937,14.12,7012999,990528
"20","Midwest","West North Central",256857,47590,74527,9.33,5476956,511185
"21","Northeast","New England",255555,48720,86235,9.78,3466935,339156
"22","Northeast","New England",254234,46910,60844,10.78,599938,64700
"23","South","South Atlantic",254108,46700,72044,11.44,941266,107641
"24","West","Mountain",250890,45890,62345,10.76,566858,61006
"25","South","South Atlantic",245169,37920,63238,13.34,20793628,2772939
"26","Northeast","New England",242316,42950,61791,11.07,1304038,144384
"27","Midwest","West North Central",235012,46960,69662,10.53,735842,77491
"28","South","West South Central",207301,39030,73069,14.22,28013446,3984260
"29","Midwest","West North Central",205567,37710,67001,12.81,849910,108863
"30","West","Mountain",203675,37810,59412,18.55,2053909,381026
"31","Midwest","East North Central",202675,46630,79852,11.99,12418504,1488670
"32","South","South Atlantic",202215,38370,66991,13.98,10098330,1411939
"33","Midwest","East North Central",202029,45000,66542,10.97,5659485,620947
"34","South","South Atlantic",201294,38340,68677,14.28,10238369,1461572
"35","Northeast","Middle Atlantic",194603,44900,74420,11.95,12387061,1480430
"36","South","East South Central",185922,37700,68327,14.62,6603468,965213
"37","South","South Atlantic",185749,37250,60698,14.68,4950181,726470
"38","Midwest","West North Central",175884,38780,67902,10.37,1869467,193820
"39","Midwest","East North Central",173277,45190,68667,13.71,9753541,1337256
"40","South","West South Central",166565,37320,62679,18.65,4532187,845230
"41","Midwest","West North Central",162464,38130,64278,13.01,5942813,772992
"42","Midwest","East North Central",155640,38330,68221,12.91,6491632,838149
"43","Midwest","West North Central",152885,39070,62273,11.11,3051284,339090
"44","Midwest","West North Central",150657,38050,65062,11.44,2828498,323644
"45","Midwest","East North Central",150374,39680,67110,13.62,11350378,1546011
"46","South","East South Central",146871,37660,60619,16.61,4322881,717895
"47","South","East South Central",138975,37250,59152,15.98,4771614,762642
"48","South","West South Central",128934,37500,61686,15.27,3833712,585520
"49","South","West South Central",128101,36680,56800,16.08,2923585,470190
"50","South","East South Central",126502,35070,51608,19.58,2883074,564439
"51","South","South Atlantic",108236,36860,58638,17.1,1755591,300152
